;Bande;CP;Peuplement;Travail_sol_J90;Ajout_phyto_30J;Ajout_ferti_30J;Temp_quali;Pluie_quali;year;Saison;Pic_O3;Pic_J45;Pic_J182
199;elev;escourgeon;escourgeon;False;0.0;0.0;moyenne;absence;2019;printemps;0;0;0
200;ref;orge_de_printemps;orge_de_printemps;False;1.0;0.0;moyenne;absence;2019;printemps;0;0;0
201;acs;colza;colza_fenugrec_gesse;False;1.0;0.0;elevee;absence;2019;ete;1;1;0
202;pn;colza;colza;True;1.0;0.0;elevee;absence;2019;ete;1;1;1
203;bi;colza;colza_ge._fe._le.ve._tr.;True;1.0;0.0;elevee;absence;2019;ete;1;1;1
204;bio;feverolle;sol_nu;True;0.0;0.0;elevee;absence;2019;ete;1;1;1
205;elev;colza;colza;True;1.0;0.0;elevee;absence;2019;ete;1;1;1
206;ref;colza;colza_ge._fe._le.ve.;True;1.0;0.0;elevee;absence;2019;ete;1;1;1
207;acs;colza;colza_fenugrec_gesse;False;1.0;0.0;moyenne;sup a la moy;2019;automne;0;1;0
208;pn;colza;colza;True;1.0;0.0;moyenne;sup a la moy;2019;automne;1;1;0
209;bi;colza;colza_ge._fe._le.ve._tr.;True;0.0;0.0;moyenne;sup a la moy;2019;automne;0;0;0
210;bio;feverolle;sol_nu;True;0.0;0.0;moyenne;sup a la moy;2019;automne;0;0;0
211;elev;colza;colza;True;1.0;0.0;moyenne;sup a la moy;2019;automne;1;0;0
212;ref;colza;colza_ge._fe._le.ve.;True;0.0;0.0;moyenne;sup a la moy;2019;automne;0;0;0
213;acs;colza;colza_fenugrec_gesse;False;1.0;0.0;moyenne;inf a la moy;2019;automne;0;0;0
214;pn;colza;colza;True;0.0;0.0;moyenne;inf a la moy;2019;automne;1;1;0
215;bi;colza;colza_ge._fe._le.ve._tr.;True;0.0;0.0;moyenne;inf a la moy;2019;automne;0;0;0
216;bio;feverolle;sol_nu;True;0.0;0.0;moyenne;inf a la moy;2019;automne;0;0;0
217;elev;colza;colza;True;0.0;0.0;moyenne;inf a la moy;2019;automne;0;0;0
218;ref;colza;colza_ge._fe._le.ve.;True;0.0;0.0;moyenne;inf a la moy;2019;automne;0;0;0
219;acs;colza;colza_fenugrec_gesse;False;0.0;0.0;moyenne;sup a la moy;2019;automne;0;0;0
220;pn;colza;colza;True;0.0;0.0;moyenne;sup a la moy;2019;automne;0;0;0
221;bi;colza;colza_ge._fe._le.ve._tr.;True;0.0;0.0;moyenne;sup a la moy;2019;automne;1;1;0
222;bio;feverolle;feverolle;True;0.0;0.0;moyenne;sup a la moy;2019;automne;1;1;1
223;elev;colza;colza;True;0.0;0.0;moyenne;sup a la moy;2019;automne;0;0;0
224;ref;colza;colza_ge._fe._le.ve.;True;0.0;0.0;moyenne;sup a la moy;2019;automne;0;0;0
225;acs;colza;colza_fenugrec_gesse;False;0.0;0.0;moyenne;sup a la moy;2019;hiver;1;1;0
226;pn;colza;colza;False;0.0;0.0;moyenne;sup a la moy;2019;hiver;1;1;0
227;bi;colza;colza_ge._fe._le.ve._tr.;False;0.0;0.0;moyenne;sup a la moy;2019;hiver;0;1;0
228;bio;feverolle;feverolle;True;0.0;0.0;moyenne;sup a la moy;2019;hiver;0;1;0
229;elev;colza;colza;False;0.0;0.0;moyenne;sup a la moy;2019;hiver;1;1;0
230;ref;colza;colza_ge._fe._le.ve.;False;0.0;0.0;moyenne;sup a la moy;2019;hiver;0;0;0
231;acs;colza;colza;False;1.0;0.0;basse;sup a la moy;2020;hiver;0;0;0
232;pn;colza;colza;False;1.0;0.0;basse;sup a la moy;2020;hiver;0;0;0
233;bi;colza;colza_ge._fe._le.ve._tr.;False;0.0;0.0;basse;sup a la moy;2020;hiver;1;0;0
234;bio;feverolle;feverolle;False;0.0;0.0;basse;sup a la moy;2020;hiver;0;0;0
235;elev;colza;colza;False;1.0;0.0;basse;sup a la moy;2020;hiver;0;0;0
236;ref;colza;colza;False;1.0;0.0;basse;sup a la moy;2020;hiver;0;0;0
237;acs;colza;colza;False;0.0;1.0;moyenne;sup a la moy;2020;hiver;0;0;0
238;pn;colza;colza;False;0.0;1.0;moyenne;sup a la moy;2020;hiver;0;0;0
239;bi;colza;colza_ge._fe._le.ve._tr.;False;0.0;1.0;moyenne;sup a la moy;2020;hiver;0;0;0
240;bio;feverolle;feverolle;False;0.0;0.0;moyenne;sup a la moy;2020;hiver;0;0;0
241;elev;colza;colza;False;0.0;1.0;moyenne;sup a la moy;2020;hiver;0;0;0
242;ref;colza;colza;False;0.0;1.0;moyenne;sup a la moy;2020;hiver;0;0;0
243;acs;colza;colza;False;0.0;1.0;moyenne;sup a la moy;2020;hiver;1;1;1
244;pn;colza;colza;False;0.0;1.0;moyenne;sup a la moy;2020;hiver;1;1;1
